subject_area_code,object_type,object_name,bp_standard_name,priority,priority_basis,phase,dependent_objects,remarks,review_status,updated_at
HRM,dimension,dim_employee,,P0,"业务价值:评分人关联基础;复用度:所有评分表都需关联评分人;实施复杂度:低,源表已存在",Phase1,,需同步建立evaluator姓名到employeeid的映射表,pending,2026-04-13
SEV,fact,dwd_sev_supplier_evaluation,供应商参评登记,P0,"业务价值:供应商评价核心汇总表,含综合评分和评级;复用度:下游报表核心数据源;实施复杂度:中",Phase1,"dim_employee,dim_supplier(待建),dim_project(待建)","累积快照事实表,需确认行更新模式",pending,2026-04-13
SEV,dimension,dim_supplier,,P0,"业务价值:供应商是核心分析维度;复用度:所有评分表都关联供应商;实施复杂度:中,需从评价数据抽取",Phase1,,"源系统无供应商主数据表,需从supplier_evaluation_list抽取构建",pending,2026-04-13
SEV,dimension,dim_project,,P0,"业务价值:项目是核心分析维度;复用度:所有评分表都关联项目;实施复杂度:中,需从评价数据抽取",Phase1,,"源系统无项目主数据表,需从supplier_evaluation_list抽取构建",pending,2026-04-13
SEV,fact,dwd_sev_biz_eval_gc,商务评分_总包精装修,P1,业务价值:中(总包精装修是最常见供应商类别);复用度:中;实施复杂度:低(单表ETL),Phase1,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_biz_eval_design,商务评分_设计,P1,业务价值:中(设计类供应商评价需求高);复用度:中;实施复杂度:低(单表ETL),Phase1,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_tech_eval_gc,技术评分_总包精装修_规划部,P1,业务价值:中(总包精装修技术评分核心);复用度:中;实施复杂度:低(单表ETL),Phase1,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_tech_eval_design,技术评分_设计,P1,业务价值:中(设计类技术评分);复用度:中;实施复杂度:低(单表ETL),Phase1,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_biz_eval_造价咨询,商务评分_造价咨询,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_biz_eval_监理,商务评分_监理,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_biz_eval_公辅设备交付前,商务评分_公辅设备交付前,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_biz_eval_零星工程,商务评分_零星工程,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_biz_eval_公辅设备交付后,商务评分_公辅设备交付后,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_tech_eval_公辅设备交付前_规划部,技术评分_公辅设备交付前_规划部,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_tech_eval_造价咨询,技术评分_造价咨询,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_tech_eval_公辅设备交付前_fe,技术评分_公辅设备交付前_FE,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_tech_eval_总包精装修_监理,技术评分_总包精装修_监理,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_tech_eval_零星工程,技术评分_零星工程,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_tech_eval_公辅设备交付后,技术评分_公辅设备交付后,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
SEV,fact,dwd_sev_tech_eval_监理,技术评分_监理,P2,业务价值:低(非核心供应商类别);复用度:低;实施复杂度:低,Phase2,"dim_employee,dim_supplier,dim_project",,pending,2026-04-13
